ID	Accession	Type	Description
23S-methyl	RF01065	Cis-reg;	23S methyl RNA motif
2dG-II	RF03165	Cis-reg;	2dG-II purine riboswitch
30_255	RF02857	Gene; sRNA;	Leptospira sRNA 30_255
30_292	RF02856	Gene; sRNA;	Leptospira sRNA 30_292
5S_rRNA	RF00001	Gene; rRNA;	5S ribosomal RNA
5_8S_rRNA	RF00002	Gene; rRNA;	5.8S ribosomal RNA
5_ureB_sRNA	RF02514	Gene; sRNA;	5' ureB small RNA
6A	RF02925	Gene; sRNA;	6A RNA
6C	RF01066	Cis-reg;	6C RNA
6S	RF00013	Gene;	6S / SsrS RNA
6S-Flavo	RF01685	Gene; sRNA;	6S-Flavo RNA
7SK	RF00100	Gene;	7SK RNA
AAC_AAD_leader	RF02912	Cis-reg; riboswitch;	putative aminoglycoside riboswitch / attI site
AaHKsRNA20	RF02898	Gene; sRNA;	Aggregatibacter sRNA 20
AaHKsRNA22	RF02902	Gene; sRNA;	Aggregatibacter sRNA 22
AaHKsRNA41	RF02901	Gene; sRNA;	Aggregatibacter sRNA 41
AaHKsRNA54	RF02899	Gene; sRNA;	Aggregatibacter sRNA 54
AaHKsRNA69	RF02904	Gene; sRNA;	Aggregatibacter sRNA 69
AaHKsRNA82	RF02900	Gene; sRNA;	Aggregatibacter sRNA 82
AaHKsRNA96	RF02903	Gene; antisense;	Aggregatibacter sRNA 96
Aar	RF02375	Gene; sRNA;	Aar sRNA
abiF	RF03085	Gene; sRNA;	abiF RNA
AbsR11	RF02608	Gene; sRNA;	Acinetobacter sRNA 11
AbsR25	RF02607	Gene; sRNA;	Acinetobacter sRNA 25
AbsR28	RF02606	Gene; sRNA;	Acinetobacter sRNA 28
ACA59	RF01293	Gene; snRNA; snoRNA; HACA-box;	Small nucleolar RNA ACA59
ACA64	RF01225	Gene; snRNA; snoRNA; HACA-box;	Small nucleolar RNA ACA64
ACAT	RF01495	Cis-reg;	Human acetyl-coA cholesterol acyltransferase mRNA
ACEA_U3	RF01848	Gene; snRNA; snoRNA; CD-box;	ACEA small nucleolar RNA U3
Acido-1	RF01686	Gene; sRNA;	Acido-1 RNA
Acido-Lenti-1	RF01687	Gene; sRNA;	Acido-Lenti-1 RNA
aCoV-3UTR	RF03121	Cis-reg;	Alphacoronavirus 3'UTR
aCoV-5UTR	RF03116	Cis-reg;	Alphacoronavirus 5'UTR
Actino-pnp	RF01688	Cis-reg;	Actino-pnp RNA
Actino-ugpB	RF02927	Gene; sRNA;	Actino-ugpB RNA
Actinomyces-1	RF02928	Gene; sRNA;	Actinomyces-1 RNA
adapt33_1	RF02255	Gene; lncRNA;	Adaptive response 33 conserved region 1
adapt33_2	RF02256	Gene; lncRNA;	Adaptive response 33 conserved region 2
adapt33_3	RF02257	Gene; lncRNA;	Adaptive response 33 conserved region 3
adapt33_4	RF02258	Gene; lncRNA;	Adaptive response 33 conserved region 4
AdoCbl-variant	RF01689	Cis-reg; riboswitch;	AdoCbl variant RNA
AdoCbl_riboswitch	RF01482	Cis-reg; riboswitch;	AdoCbl riboswitch
AEV_CRE	RF02536	Cis-reg;	Avian encephalitis virus (AEV) cis-acting replication element (CRE)
AfaR	RF02515	Gene; sRNA;	AfaR small RNA
Afu_182	RF01496	Gene; sRNA;	A. fumigatus sRNA Afu_182
Afu_190	RF01498	Gene; snRNA; snoRNA; CD-box;	A. fumigatus snoRNA Afu_190
Afu_191	RF01499	Gene; snRNA; snoRNA; CD-box;	A. fumigatus snoRNA Afu_191
Afu_198	RF01500	Gene; snRNA; snoRNA; CD-box;	A. fumigatus snoRNA Afu_198
Afu_199	RF01501	Gene; snRNA; snoRNA; CD-box;	A. fimigatus snoRNA Afu_199
Afu_203	RF01503	Gene; sRNA;	A. fumigatus sRNA Afu_203
Afu_254	RF01504	Gene; sRNA;	A. fumigatus sRNA Afu_254
Afu_263	RF02402	Gene; snRNA; snoRNA; CD-box;	A. fumigatus snoRNA Afu_263
Afu_264	RF01505	Gene; snRNA; snoRNA; CD-box;	A. fumigatus snoRNA Afu_264
Afu_294	RF01506	Gene; snRNA; snoRNA; CD-box;	A. fumigatus snoRNA Afu_294
Afu_298	RF01507	Gene; snRNA; snoRNA; CD-box;	A. fimigatus snoRNA Afu_298
Afu_300	RF01509	Gene; snRNA; snoRNA; CD-box;	A. fumigatus snoRNA Afu_300
Afu_304	RF01511	Gene; snRNA; snoRNA; CD-box;	A. fumigatus snoRNA Afu_304
Afu_309	RF01512	Gene; sRNA;	A. fumigatus sRNA Afu_309
Afu_328	RF02403	Gene; snRNA; snoRNA; CD-box;	A. fumigatus snoRNA Afu_328
Afu_335	RF01513	Gene; snRNA; snoRNA; CD-box;	A. fumigatus snoRNA Afu_335
Afu_455	RF01860	Gene; snRNA; snoRNA; CD-box;	A. fumigatus snoRNA Afu_455
Afu_513	RF01514	Gene; snRNA; snoRNA; CD-box;	A. fumigatus snoRNA Afu_513
Afu_514	RF01515	Gene; snRNA; snoRNA; CD-box;	A. fumigatus snoRNA Afu_514
AgrB	RF02891	Gene; antisense;	ArsR-gov region gene B
AgvB	RF02702	Gene; sRNA;	Anti GcvB sRNA
AHBV_epsilon	RF01313	Cis-reg;	Avian HBV RNA encapsidation signal epsilon
AilA_thermometer	RF02772	Cis-reg; thermoregulator;	AilA 5' UTR thermometer
Alfamo_CPB	RF00252	Cis-reg;	Alfalfa mosaic virus coat protein binding (CPB) RNA
